,0
0,[[0]]
1,[[1]]
2,[[2]]
3,[[3]]
4,[[4]]
5,"[[0, 1]]"
6,"[[0, 2]]"
7,"[[0, 3]]"
8,"[[0, 4]]"
9,"[[1, 2]]"
10,"[[1, 3]]"
11,"[[1, 4]]"
12,"[[2, 3]]"
13,"[[2, 4]]"
14,"[[3, 4]]"
15,"[[0, 1, 2]]"
16,"[[0, 1, 3]]"
17,"[[0, 1, 4]]"
18,"[[0, 2, 3]]"
19,"[[0, 2, 4]]"
20,"[[0, 3, 4]]"
21,"[[1, 2, 3]]"
22,"[[1, 2, 4]]"
23,"[[1, 3, 4]]"
24,"[[2, 3, 4]]"
25,"[[0, 1, 2, 3]]"
26,"[[0, 1, 2, 4]]"
27,"[[0, 1, 3, 4]]"
28,"[[0, 2, 3, 4]]"
29,"[[1, 2, 3, 4]]"
30,"[[0, 1, 2, 3, 4]]"
31,"[[0], [1]]"
32,"[[0], [2]]"
33,"[[0], [3]]"
34,"[[0], [4]]"
35,"[[0], [1, 2]]"
36,"[[0], [1, 3]]"
37,"[[0], [1, 4]]"
38,"[[0], [2, 3]]"
39,"[[0], [2, 4]]"
40,"[[0], [3, 4]]"
41,"[[0], [1, 2, 3]]"
42,"[[0], [1, 2, 4]]"
43,"[[0], [1, 3, 4]]"
44,"[[0], [2, 3, 4]]"
45,"[[0], [1, 2, 3, 4]]"
46,"[[1], [2]]"
47,"[[1], [3]]"
48,"[[1], [4]]"
49,"[[1], [0, 2]]"
50,"[[1], [0, 3]]"
51,"[[1], [0, 4]]"
52,"[[1], [2, 3]]"
53,"[[1], [2, 4]]"
54,"[[1], [3, 4]]"
55,"[[1], [0, 2, 3]]"
56,"[[1], [0, 2, 4]]"
57,"[[1], [0, 3, 4]]"
58,"[[1], [2, 3, 4]]"
59,"[[1], [0, 2, 3, 4]]"
60,"[[2], [3]]"
61,"[[2], [4]]"
62,"[[2], [0, 1]]"
63,"[[2], [0, 3]]"
64,"[[2], [0, 4]]"
65,"[[2], [1, 3]]"
66,"[[2], [1, 4]]"
67,"[[2], [3, 4]]"
68,"[[2], [0, 1, 3]]"
69,"[[2], [0, 1, 4]]"
70,"[[2], [0, 3, 4]]"
71,"[[2], [1, 3, 4]]"
72,"[[2], [0, 1, 3, 4]]"
73,"[[3], [4]]"
74,"[[3], [0, 1]]"
75,"[[3], [0, 2]]"
76,"[[3], [0, 4]]"
77,"[[3], [1, 2]]"
78,"[[3], [1, 4]]"
79,"[[3], [2, 4]]"
80,"[[3], [0, 1, 2]]"
81,"[[3], [0, 1, 4]]"
82,"[[3], [0, 2, 4]]"
83,"[[3], [1, 2, 4]]"
84,"[[3], [0, 1, 2, 4]]"
85,"[[4], [0, 1]]"
86,"[[4], [0, 2]]"
87,"[[4], [0, 3]]"
88,"[[4], [1, 2]]"
89,"[[4], [1, 3]]"
90,"[[4], [2, 3]]"
91,"[[4], [0, 1, 2]]"
92,"[[4], [0, 1, 3]]"
93,"[[4], [0, 2, 3]]"
94,"[[4], [1, 2, 3]]"
95,"[[4], [0, 1, 2, 3]]"
96,"[[0, 1], [0, 2]]"
97,"[[0, 1], [0, 3]]"
98,"[[0, 1], [0, 4]]"
99,"[[0, 1], [1, 2]]"
100,"[[0, 1], [1, 3]]"
101,"[[0, 1], [1, 4]]"
102,"[[0, 1], [2, 3]]"
103,"[[0, 1], [2, 4]]"
104,"[[0, 1], [3, 4]]"
105,"[[0, 1], [0, 2, 3]]"
106,"[[0, 1], [0, 2, 4]]"
107,"[[0, 1], [0, 3, 4]]"
108,"[[0, 1], [1, 2, 3]]"
109,"[[0, 1], [1, 2, 4]]"
110,"[[0, 1], [1, 3, 4]]"
111,"[[0, 1], [2, 3, 4]]"
112,"[[0, 1], [0, 2, 3, 4]]"
113,"[[0, 1], [1, 2, 3, 4]]"
114,"[[0, 2], [0, 3]]"
115,"[[0, 2], [0, 4]]"
116,"[[0, 2], [1, 2]]"
117,"[[0, 2], [1, 3]]"
118,"[[0, 2], [1, 4]]"
119,"[[0, 2], [2, 3]]"
120,"[[0, 2], [2, 4]]"
121,"[[0, 2], [3, 4]]"
122,"[[0, 2], [0, 1, 3]]"
123,"[[0, 2], [0, 1, 4]]"
124,"[[0, 2], [0, 3, 4]]"
125,"[[0, 2], [1, 2, 3]]"
126,"[[0, 2], [1, 2, 4]]"
127,"[[0, 2], [1, 3, 4]]"
128,"[[0, 2], [2, 3, 4]]"
129,"[[0, 2], [0, 1, 3, 4]]"
130,"[[0, 2], [1, 2, 3, 4]]"
131,"[[0, 3], [0, 4]]"
132,"[[0, 3], [1, 2]]"
133,"[[0, 3], [1, 3]]"
134,"[[0, 3], [1, 4]]"
135,"[[0, 3], [2, 3]]"
136,"[[0, 3], [2, 4]]"
137,"[[0, 3], [3, 4]]"
138,"[[0, 3], [0, 1, 2]]"
139,"[[0, 3], [0, 1, 4]]"
140,"[[0, 3], [0, 2, 4]]"
141,"[[0, 3], [1, 2, 3]]"
142,"[[0, 3], [1, 2, 4]]"
143,"[[0, 3], [1, 3, 4]]"
144,"[[0, 3], [2, 3, 4]]"
145,"[[0, 3], [0, 1, 2, 4]]"
146,"[[0, 3], [1, 2, 3, 4]]"
147,"[[0, 4], [1, 2]]"
148,"[[0, 4], [1, 3]]"
149,"[[0, 4], [1, 4]]"
150,"[[0, 4], [2, 3]]"
151,"[[0, 4], [2, 4]]"
152,"[[0, 4], [3, 4]]"
153,"[[0, 4], [0, 1, 2]]"
154,"[[0, 4], [0, 1, 3]]"
155,"[[0, 4], [0, 2, 3]]"
156,"[[0, 4], [1, 2, 3]]"
157,"[[0, 4], [1, 2, 4]]"
158,"[[0, 4], [1, 3, 4]]"
159,"[[0, 4], [2, 3, 4]]"
160,"[[0, 4], [0, 1, 2, 3]]"
161,"[[0, 4], [1, 2, 3, 4]]"
162,"[[1, 2], [1, 3]]"
163,"[[1, 2], [1, 4]]"
164,"[[1, 2], [2, 3]]"
165,"[[1, 2], [2, 4]]"
166,"[[1, 2], [3, 4]]"
167,"[[1, 2], [0, 1, 3]]"
168,"[[1, 2], [0, 1, 4]]"
169,"[[1, 2], [0, 2, 3]]"
170,"[[1, 2], [0, 2, 4]]"
171,"[[1, 2], [0, 3, 4]]"
172,"[[1, 2], [1, 3, 4]]"
173,"[[1, 2], [2, 3, 4]]"
174,"[[1, 2], [0, 1, 3, 4]]"
175,"[[1, 2], [0, 2, 3, 4]]"
176,"[[1, 3], [1, 4]]"
177,"[[1, 3], [2, 3]]"
178,"[[1, 3], [2, 4]]"
179,"[[1, 3], [3, 4]]"
180,"[[1, 3], [0, 1, 2]]"
181,"[[1, 3], [0, 1, 4]]"
182,"[[1, 3], [0, 2, 3]]"
183,"[[1, 3], [0, 2, 4]]"
184,"[[1, 3], [0, 3, 4]]"
185,"[[1, 3], [1, 2, 4]]"
186,"[[1, 3], [2, 3, 4]]"
187,"[[1, 3], [0, 1, 2, 4]]"
188,"[[1, 3], [0, 2, 3, 4]]"
189,"[[1, 4], [2, 3]]"
190,"[[1, 4], [2, 4]]"
191,"[[1, 4], [3, 4]]"
192,"[[1, 4], [0, 1, 2]]"
193,"[[1, 4], [0, 1, 3]]"
194,"[[1, 4], [0, 2, 3]]"
195,"[[1, 4], [0, 2, 4]]"
196,"[[1, 4], [0, 3, 4]]"
197,"[[1, 4], [1, 2, 3]]"
198,"[[1, 4], [2, 3, 4]]"
199,"[[1, 4], [0, 1, 2, 3]]"
200,"[[1, 4], [0, 2, 3, 4]]"
201,"[[2, 3], [2, 4]]"
202,"[[2, 3], [3, 4]]"
203,"[[2, 3], [0, 1, 2]]"
204,"[[2, 3], [0, 1, 3]]"
205,"[[2, 3], [0, 1, 4]]"
206,"[[2, 3], [0, 2, 4]]"
207,"[[2, 3], [0, 3, 4]]"
208,"[[2, 3], [1, 2, 4]]"
209,"[[2, 3], [1, 3, 4]]"
210,"[[2, 3], [0, 1, 2, 4]]"
211,"[[2, 3], [0, 1, 3, 4]]"
212,"[[2, 4], [3, 4]]"
213,"[[2, 4], [0, 1, 2]]"
214,"[[2, 4], [0, 1, 3]]"
215,"[[2, 4], [0, 1, 4]]"
216,"[[2, 4], [0, 2, 3]]"
217,"[[2, 4], [0, 3, 4]]"
218,"[[2, 4], [1, 2, 3]]"
219,"[[2, 4], [1, 3, 4]]"
220,"[[2, 4], [0, 1, 2, 3]]"
221,"[[2, 4], [0, 1, 3, 4]]"
222,"[[3, 4], [0, 1, 2]]"
223,"[[3, 4], [0, 1, 3]]"
224,"[[3, 4], [0, 1, 4]]"
